English,Spanish,French,German,Italian
some,algunos / unas,quelques / certains,einige / manche,alcuni / alcune
these,estos / estas,ces,diese,questi / queste
click,hacer clic,cliquer / clic,klicken,fare clic
its,su / sus,son / sa / ses,sein / ihr,suo / sua
like,gustar / como,aimer / comme,mogen / wie,piacere / come
service,servicio,service,Dienst / Service,servizio
than,que,que,als,di / che
find,encontrar,trouver,finden,trovare
price,precio,prix,Preis,prezzo
date,fecha,date,Datum,data
back,atras / espalda,retour / dos,zuruck / Rucken,indietro / schiena
top,superior,haut / sommet,oben / Spitze,alto / cima
people,personas / gente,gens / personnes,Menschen / Leute,persone / gente
had,tuvo / habia,avait / eut,hatte,aveva / ebbe
list,lista,liste,Liste,lista
name,nombre,nom,Name,nome
just,solo / justo,juste / simplement,nur / gerade,solo / appena / giusto
over,sobre / encima de,sur / au-dessus de,uber,sopra / oltre
state,estado,etat,Staat / Zustand,stato
year,ano,an / annee,Jahr,anno
day,dia,jour,Tag,giorno
into,en / dentro de,dans / en,in / hinein,in / dentro
email,correo electronico,courriel / e-mail,E-Mail,email / posta elettronica
two,dos,deux,zwei,due
health,salud,sante,Gesundheit,salute
world,mundo,monde,Welt,mondo
next,siguiente / proximo,suivant / prochain,nachste / folgende,successivo / prossimo
used,usado / utilizado,utilise,benutzt / verwendet,usato / utilizzato
work,trabajo / trabajar,travail / travailler,Arbeit / arbeiten,lavoro / lavorare
last,ultimo,dernier / derniere,letzte / letzter,ultimo / ultima
most,la mayoria / mas,la plupart / le plus,meiste / meist,la maggior parte / piu
products,productos,produits,Produkte,prodotti
music,musica,musique,Musik,musica
buy,comprar,acheter,kaufen,comprare
data,datos,donnees,Daten,dati
make,hacer,faire,machen,fare
them,ellos / ellas / los / las,eux / elles / les,sie,loro / li / le
should,deberia,devrait,sollte,dovrebbe
product,producto,produit,Produkt,prodotto
system,sistema,systeme,System,sistema
post,publicacion / publicar,publication / publier / poste,Beitrag / posten,post / pubblicare
her,su / de ella / la,elle / sa,ihr / sie,sua / lei / la
city,ciudad,ville,Stadt,citta
add,agregar / anadir,ajouter,hinzufugen,aggiungere
policy,politica,politique,Richtlinie / Politik,politica
number,numero,nombre / numero,Nummer / Anzahl,numero
such,tal / tales,tel / tels,solch / solche,tale / tali
please,por favor,s il vous plait,bitte,per favore
available,disponible,disponible,verfugbar,disponibile
copyright,derechos de autor,droits d auteur,Urheberrecht,diritto d autore
support,soporte / apoyar,support / soutenir,Unterstutzung / unterstutzen,supporto / sostenere
message,mensaje,message,Nachricht,messaggio
after,despues,apres,nach,dopo
best,mejor,meilleur / mieux,beste / am besten,migliore / meglio
software,software,logiciel,Software,software
then,entonces,alors / puis,dann,allora / poi
good,bueno,bon,gut,buono
video,video,video,Video,video
well,bien,bien,gut,bene
where,donde,ou,wo,dove
info,informacion,infos,Info,informazioni
rights,derechos,droits,Rechte,diritti
public,publico,public,offentlich,pubblico
books,libros,livres,Bucher,libri
high,alto,haut,hoch,alto
school,escuela,ecole,Schule,scuola
through,a traves de,a travers,durch,attraverso
each,cada,chaque,jede,ogni
links,enlaces,liens,Links,collegamenti
she,ella,elle,sie,lei
review,resena / revisar,avis / revoir,Bewertung / uberprufen,recensione / rivedere
years,anos,annees,Jahre,anni
order,orden / pedido,ordre / commande,Reihenfolge / Bestellung,ordine / ordinare
very,muy,tres,sehr,molto
privacy,privacidad,confidentialite,Datenschutz,privacy
book,libro / reservar,livre / reserver,Buch / buchen,libro / prenotare
items,articulos,articles,Artikel,articoli
company,empresa,entreprise,Unternehmen,azienda
read,leer,lire,lesen,leggere
group,grupo,groupe,Gruppe,gruppo
need,necesidad / necesitar,besoin / avoir besoin,Bedarf / brauchen,bisogno / aver bisogno
many,muchos,beaucoup de,viele,molti
user,usuario,utilisateur,Benutzer,utente
said,dijo,a dit,sagte,ha detto
does,hace,fait,tut,fa
set,conjunto / establecer,ensemble / fixer,Satz / setzen,insieme / impostare
under,bajo,sous,unter,sotto
general,general,general,allgemein,generale
research,investigacion,recherche,Forschung,ricerca
university,universidad,universite,Universitat,universita
january,enero,janvier,Januar,gennaio
mail,correo,courrier,Post,posta
full,completo,complet,voll,completo
map,mapa,carte,Karte,mappa
reviews,resenas,avis,Bewertungen,recensioni
program,programa,programme,Programm,programma
life,vida,vie,Leben,vita
know,saber / conocer,savoir / connaitre,wissen / kennen,sapere / conoscere
games,juegos,jeux,Spiele,giochi
way,manera / camino,facon / chemin,Weg / Weise,modo / via
days,dias,jours,Tage,giorni
management,gestion,gestion,Management,gestione
part,parte,partie,Teil,parte
could,podria,pourrait,konnte,potrebbe
great,genial / gran,genial / grand,groBartig,grande / fantastico
united,unido,uni,vereint,unito
hotel,hotel,hotel,Hotel,hotel
real,real,reel,real,reale
item,articulo,article,Artikel,articolo
international,internacional,international,international,internazionale
center,centro,centre,Zentrum,centro
must,debe,doit,muss,deve
store,tienda / almacenar,magasin / stocker,Laden / speichern,negozio / memorizzare
travel,viaje / viajar,voyage / voyager,Reise / reisen,viaggio / viaggiare
comments,comentarios,commentaires,Kommentare,commenti
made,hecho,fait,gemacht,fatto
development,desarrollo,developpement,Entwicklung,sviluppo
report,informe / informar,rapport / signaler,Bericht / melden,rapporto / segnalare
off,apagado / fuera,eteint / hors,aus / weg,spento / fuori
member,miembro,membre,Mitglied,membro
details,detalles,details,Details,dettagli
line,linea,ligne,Linie,linea
terms,terminos,termes,Bedingungen / Begriffe,termini
before,antes,avant,vor,prima
hotels,hoteles,hotels,Hotels,hotel
did,hizo,a fait,tat,ha fatto
send,enviar,envoyer,senden,inviare
right,derecho / correcto,droit / correct,Recht / richtig,diritto / giusto
type,tipo,type,Typ,tipo
because,porque,parce que,weil,perche
local,local,local,lokal,locale
those,esos / aquellas,ceux-la / celles-la,jene,quelli / quelle
using,usando,en utilisant,unter Verwendung,usando
results,resultados,resultats,Ergebnisse,risultati
office,oficina,bureau,Buro,ufficio
education,educacion,education,Bildung,istruzione
national,nacional,national,national,nazionale
car,coche,voiture,Auto,auto
design,diseno / disenar,conception / concevoir,Design / entwerfen,design / progettare
take,tomar / llevar,prendre,nehmen,prendere
posted,publicado,publie,veroffentlicht,pubblicato
internet,internet,internet,Internet,internet
address,direccion,adresse,Adresse,indirizzo
community,comunidad,communaute,Gemeinschaft,comunita
within,dentro de,dans,innerhalb,all'interno di
states,estados,etats,Staaten,stati
area,area,zone,Bereich,area
want,querer,vouloir,wollen,volere
phone,telefono,telephone,Telefon,telefono
shipping,envio,expedition,Versand,spedizione
reserved,reservado,reserve,reserviert,riservato
subject,asunto / tema,sujet,Betreff / Thema,oggetto / tema
between,entre,entre,zwischen,tra
forum,foro,forum,Forum,forum
family,familia,famille,Familie,famiglia
long,largo,long,lang,lungo
based,basado,base,basiert,basato
code,codigo,code,Code,codice
show,mostrar / espectaculo,montrer / spectacle,zeigen / Show,mostrare / spettacolo
even,incluso,meme,sogar,persino
black,negro,noir,schwarz,nero
check,comprobar / cheque,verifier / cheque,prufen / Scheck,controllare / assegno
special,especial,special,besonders / speziell,speciale
prices,precios,prix,Preise,prezzi
website,sitio web,site web,Webseite,sito web
index,indice,index,Index,indice
being,siendo,etant,seiend,essendo
women,mujeres,femmes,Frauen,donne
much,mucho,beaucoup,viel,molto
sign,firma / senal / firmar,signature / signe / signer,Zeichen / unterschreiben,firma / segno / firmare
file,archivo,fichier,Datei,file
link,enlace / vincular,lien / lier,Link / verknupfen,collegamento / collegare
open,abrir / abierto,ouvrir / ouvert,offnen / offen,aprire / aperto
today,hoy,aujourd'hui,heute,oggi
technology,tecnologia,technologie,Technologie,tecnologia
south,sur,sud,Suden,sud
case,caso,cas,Fall,caso
project,proyecto,projet,Projekt,progetto
same,mismo,meme,gleich,stesso
pages,paginas,pages,Seiten,pagine
version,version,version,Version,versione
section,seccion,section,Abschnitt,sezione
own,propio / poseer,propre / posseder,eigen / besitzen,proprio / possedere
found,encontrado / fundo,trouve / fonde,gefunden / grundete,trovato / fondo
sports,deportes,sports,Sport,sport
house,casa,maison,Haus,casa
related,relacionado,lie,verwandt / bezogen,correlato
security,seguridad,securite,Sicherheit,sicurezza
both,ambos,les deux,beide,entrambi
county,condado,comte,Bezirk / County,contea
american,americano,americain,amerikanisch,americano
photo,foto,photo,Foto,foto
game,juego,jeu,Spiel,gioco
members,miembros,membres,Mitglieder,membri
power,poder / potencia,pouvoir / puissance,Macht / Leistung,potere / potenza
while,mientras,pendant que,wahrend,mentre
care,cuidado / cuidar,soin / se soucier,Pflege / sich kummern,cura / prendersi cura
network,red,reseau,Netzwerk,rete
down,abajo,en bas,unten,giu
computer,computadora / ordenador,ordinateur,Computer,computer
systems,sistemas,systemes,Systeme,sistemi
three,tres,trois,drei,tre
total,total,total,gesamt / total,totale
place,lugar / colocar,lieu / placer,Ort / platzieren,luogo / collocare
end,fin / terminar,fin / terminer,Ende / beenden,fine / finire
following,siguiente,suivant,folgend,seguente
download,descarga / descargar,telechargement / telecharger,Download / herunterladen,download / scaricare
him,el / lo,lui / le,ihn / ihm,lui / lo
without,sin,sans,ohne,senza
per,por / por cada,par,pro,per
access,acceso / acceder,acces / acceder,Zugang / zugreifen,accesso / accedere
think,pensar,penser,denken,pensare
north,norte,nord,Norden,nord
resources,recursos,ressources,Ressourcen,risorse
current,actual,actuel,aktuell,attuale
posts,publicaciones,publications / posts,Beitrage,post / pubblicazioni
big,grande,grand,gross,grande
media,medios,medias,Medien,media
law,ley,loi,Gesetz,legge
control,control / controlar,controle / controler,Kontrolle / steuern,controllo / controllare
water,agua,eau,Wasser,acqua
history,historia,histoire,Geschichte,storia
pictures,imagenes / fotos,images / photos,Bilder / Fotos,immagini / foto
size,tamano,taille,Grosse,dimensione
art,arte,art,Kunst,arte
personal,personal,personnel,personlich,personale
since,desde,depuis,seit,dal / da
including,incluyendo,y compris,einschliesslich,incluso / compreso
guide,guia / guiar,guide / guider,Leitfaden / fuhren,guida / guidare
shop,tienda / comprar,boutique / acheter,Geschaft / einkaufen,negozio / comprare
directory,directorio,repertoire,Verzeichnis,directory / elenco
board,junta / tablero,conseil / tableau,Vorstand / Brett,consiglio / tavola
location,ubicacion,emplacement,Standort,posizione
change,cambio / cambiar,changement / changer,Anderung / andern,cambiamento / cambiare
white,blanco,blanc,weiss,bianco
text,texto,texte,Text,testo
small,pequeno,petit,klein,piccolo
rating,calificacion,evaluation / note,Bewertung,valutazione
rate,tasa / calificar,taux / evaluer,Rate / bewerten,tasso / valutare
government,gobierno,gouvernement,Regierung,governo
children,ninos / hijos,enfants,Kinder,bambini / figli
during,durante,pendant,wahrend,durante
return,devolver / regreso,retour / retourner,Ruckkehr / zuruckgeben,ritorno / restituire
students,estudiantes,etudiants,Studenten,studenti
shopping,compras,achats / shopping,Einkaufen,shopping / acquisti
account,cuenta,compte,Konto,conto
times,veces / tiempos,fois / temps,Male / Zeiten,volte / tempi
sites,sitios,sites,Websites / sites,siti
level,nivel,niveau,Niveau,livello
digital,digital,numerique / digital,digital,digitale
profile,perfil,profil,Profil,profilo
previous,anterior / previo,precedent,vorherig,precedente
form,forma / formulario,forme / formulaire,Form / Formular,forma / modulo
events,eventos,evenements,Ereignisse,eventi
love,amor / amar,amour / aimer,Liebe / lieben,amore / amare
old,viejo,vieux,alt,vecchio
john,Juan / John,Jean / John,Johann / John,Giovanni / John
main,principal,principal,Haupt-,principale
call,llamar / llamada,appeler / appel,anrufen / Anruf,chiamare / chiamata
hours,horas,heures,Stunden,ore
image,imagen,image,Bild,immagine
department,departamento,departement,Abteilung,dipartimento
title,titulo,titre,Titel,titolo
description,descripcion,description,Beschreibung,descrizione
non,no / no-,non,nicht / non-,non
insurance,seguro,assurance,Versicherung,assicurazione
another,otro / otra,un autre / une autre,ein anderer / noch ein,un altro / un altra
why,por que,pourquoi,warum,perche
shall,debera,devra,soll,dovra
property,propiedad,propriete,Eigentum,proprieta
class,clase,classe,Klasse,classe
still,todavia,encore,noch,ancora
money,dinero,argent,Geld,denaro
quality,calidad,qualite,Qualitat,qualita
every,cada,chaque,jeder,ogni
listing,listado,liste / annonce,Auflistung / Eintrag,elenco / inserzione
content,contenido,contenu,Inhalt,contenuto
country,pais,pays,Land,paese
private,privado,prive,privat,privato
little,pequeno / poco,petit / peu,klein / wenig,piccolo / poco
visit,visitar / visita,visiter / visite,besuchen / Besuch,visitare / visita
save,guardar / ahorrar,sauvegarder / economiser,speichern / sparen,salvare / risparmiare
tools,herramientas,outils,Werkzeuge,strumenti
low,bajo,bas,niedrig,basso
reply,respuesta / responder,reponse / repondre,Antwort / antworten,risposta / rispondere
customer,cliente,client,Kunde,cliente
december,diciembre,decembre,Dezember,dicembre
compare,comparar,comparer,vergleichen,confrontare
movies,peliculas,films,Filme,film
include,incluir,inclure,einschliessen,includere
college,universidad / instituto,college / universite,College / Hochschule,college / universita
value,valor,valeur,Wert,valore
article,articulo,article,Artikel,articolo
york,York,York,York,York
man,hombre,homme,Mann,uomo
card,tarjeta,carte,Karte,carta
jobs,empleos / trabajos,emplois,Jobs / Arbeitsplatze,lavori / impieghi
provide,proporcionar / brindar,fournir,bereitstellen,fornire
food,comida,nourriture,Essen,cibo
source,fuente,source,Quelle,fonte
author,autor,auteur,Autor,autore
different,diferente,different,verschieden,diverso
press,prensa / presionar,presse / appuyer,Presse / drucken,stampa / premere
learn,aprender,apprendre,lernen,imparare
sale,venta,vente,Verkauf,vendita
around,alrededor de,autour de,um ... herum,intorno a
print,imprimir / impresion,imprimer / impression,drucken / Druck,stampare / stampa
course,curso,cours,Kurs,corso
job,trabajo / empleo,emploi / travail,Job / Arbeit,lavoro / impiego
canada,Canada,Canada,Kanada,Canada
process,proceso / procesar,processus / traiter,Prozess / verarbeiten,processo / elaborare
teen,adolescente,adolescent,Teenager,adolescente
room,habitacion / cuarto,chambre / piece,Zimmer / Raum,stanza / camera
stock,existencias / acciones,stock / actions,Bestand / Aktien,scorte / azioni
training,capacitacion / entrenamiento,formation / entrainement,Schulung / Training,formazione / allenamento
too,tambien / demasiado,aussi / trop,auch / zu,anche / troppo
credit,credito,credit,Kredit,credito
point,punto,point,Punkt,punto
join,unirse / unir,rejoindre / joindre,beitreten / verbinden,unirsi / unire
science,ciencia,science,Wissenschaft,scienza
men,hombres,hommes,Manner,uomini
categories,categorias,categories,Kategorien,categorie
advanced,avanzado,avance,fortgeschritten,avanzato
west,oeste,ouest,Westen,ovest
sales,ventas,ventes,Verkauf / Umsatze,vendite
look,mirar / aspecto,regarder / aspect,schauen / Aussehen,guardare / aspetto
english,ingles,anglais,Englisch,inglese
left,izquierda / dejado,gauche / laisse,links / verlassen,sinistra / lasciato
team,equipo,equipe,Team,squadra
estate,patrimonio / bienes raices,patrimoine / immobilier,Nachlass / Immobilien,patrimonio / immobili
box,caja,boite,Kiste / Box,scatola
conditions,condiciones,conditions,Bedingungen,condizioni
select,seleccionar,selectionner,auswahlen,selezionare
windows,ventanas / Windows,fenetres / Windows,Fenster / Windows,finestre / Windows
photos,fotos,photos,Fotos,foto
gay,gay / homosexual,gay / homosexuel,schwul / gay,gay / omosessuale
thread,hilo,fil,Thread / Faden,thread / filo
week,semana,semaine,Woche,settimana
category,categoria,categorie,Kategorie,categoria
note,nota / notar,note / noter,Notiz / bemerken,nota / notare
live,vivir / en vivo,vivre / en direct,leben / live,vivere / dal vivo
large,grande,grand,gross,grande
gallery,galeria,galerie,Galerie,galleria
table,mesa / tabla,table,Tisch / Tabelle,tavolo / tabella
register,registrarse / registro,s inscrire / registre,registrieren / Register,registrarsi / registro
however,sin embargo,cependant,jedoch,tuttavia
june,junio,juin,Juni,giugno
october,octubre,octobre,Oktober,ottobre
november,noviembre,novembre,November,novembre
market,mercado,marche,Markt,mercato
library,biblioteca,bibliotheque,Bibliothek,biblioteca
really,realmente,vraiment,wirklich,davvero
action,accion,action,Aktion,azione
start,empezar / inicio,commencer / debut,starten / Anfang,iniziare / inizio
series,serie,serie,Serie,serie
model,modelo,modele,Modell,modello
features,caracteristicas,fonctionnalites / caracteristiques,Funktionen / Merkmale,funzionalita / caratteristiche
air,aire,air,Luft,aria
industry,industria,industrie,Industrie,industria
plan,plan / planear,plan / planifier,Plan / planen,piano / pianificare
human,humano,humain,Mensch / menschlich,umano
provided,proporcionado,fourni,bereitgestellt,fornito
yes,si,oui,ja,si
required,requerido,requis,erforderlich,richiesto
second,segundo,second,zweite / Sekunde,secondo
hot,caliente,chaud,heiss,caldo
accessories,accesorios,accessoires,Zubehor,accessori
cost,costo / costar,cout / couter,Kosten / kosten,costo / costare
movie,pelicula,film,Film,film
forums,foros,forums,Foren,forum
march,marzo,mars,Marz,marzo
september,septiembre,septembre,September,settembre
better,mejor,meilleur / mieux,besser,migliore / meglio
say,decir,dire,sagen,dire
questions,preguntas,questions,Fragen,domande
july,julio,juillet,Juli,luglio
going,yendo / ir,allant / aller,gehend / gehen,andando / andare
medical,medico,medical,medizinisch,medico
test,prueba / probar,test / tester,Test / testen,test / provare
friend,amigo,ami,Freund,amico
come,venir,venir,kommen,venire
server,servidor,serveur,Server,server
study,estudio / estudiar,etude / etudier,Studie / studieren,studio / studiare
application,solicitud / aplicacion,demande / application,Antrag / Anwendung,domanda / applicazione
cart,carrito,panier,Warenkorb,carrello
staff,personal,personnel,Personal,personale
articles,articulos,articles,Artikel,articoli
san,san,saint,Sankt,san
feedback,comentarios / retroalimentacion,retour / commentaires,Feedback / Ruckmeldung,feedback / commenti
again,otra vez,encore,wieder,di nuovo
play,jugar / reproducir,jouer,spielen / abspielen,giocare / riprodurre
looking,mirando / buscando,regardant / cherchant,schauend / suchend,guardando / cercando
issues,problemas / asuntos,problemes / questions,Probleme / Themen,problemi / questioni
april,abril,avril,April,aprile
never,nunca,jamais,nie,mai
users,usuarios,utilisateurs,Benutzer,utenti
complete,completo / completar,complet / completer,vollstandig / abschliessen,completo / completare
street,calle,rue,Strasse,strada
topic,tema,sujet,Thema,argomento
comment,comentario / comentar,commentaire / commenter,Kommentar / kommentieren,commento / commentare
financial,financiero,financier,finanziell,finanziario
things,cosas,choses,Dinge,cose
working,trabajando / funcionando,travaillant / fonctionnant,arbeitend / funktionierend,lavorando / funzionando
against,contra,contre,gegen,contro
standard,estandar,standard,Standard,standard
tax,impuesto,taxe,Steuer,tassa
person,persona,personne,Person,persona
below,debajo / a continuacion,dessous / ci-dessous,unten / darunter,sotto / di seguito
mobile,movil,mobile,mobil,mobile
less,menos,moins,weniger,meno
got,obtuvo / tengo,a obtenu / ai,bekam / habe,ha ottenuto / ho
blog,blog,blog,Blog,blog
party,fiesta / partido,fete / parti,Partei / Feier,festa / partito
payment,pago,paiement,Zahlung,pagamento
equipment,equipo,equipement,Ausrustung,attrezzatura
login,inicio de sesion,connexion,Login / Anmeldung,accesso / login
student,estudiante,etudiant,Student,studente
let,dejar / permitir,laisser / permettre,lassen / erlauben,lasciare / permettere
programs,programas,programmes,Programme,programmi
offers,ofertas / ofrece,offres / offre,Angebote / bietet an,offerte / offre
legal,legal,legal,rechtlich,legale
above,encima / arriba de,au-dessus de,uber / oberhalb,sopra
recent,reciente,recent,aktuell / jungst,recente
park,parque / estacionar,parc / garer,Park / parken,parco / parcheggiare
stores,tiendas / almacena,magasins / stocke,Geschafte / speichert,negozi / immagazzina
side,lado,cote,Seite,lato
act,acto / actuar,agir / acte,handeln / Akt,atto / agire
problem,problema,probleme,Problem,problema
red,rojo,rouge,rot,rosso
give,dar,donner,geben,dare
memory,memoria,memoire,Speicher / Erinnerung,memoria
performance,rendimiento,performance,Leistung,prestazione
social,social,social,sozial,sociale
august,agosto,aout,August,agosto
quote,cita / cotizacion,citation / devis,Zitat / Angebot,citazione / preventivo
language,idioma / lenguaje,langue / langage,Sprache,lingua / linguaggio
story,historia / cuento,histoire,Geschichte,storia
sell,vender,vendre,verkaufen,vendere
options,opciones,options,Optionen,opzioni
experience,experiencia,experience,Erfahrung,esperienza
rates,tarifas / tasas,tarifs / taux,Raten / Tarife,tariffe / tassi
create,crear,creer,erstellen,creare
key,clave / llave,cle / touche,Schlussel,chiave / tasto
body,cuerpo,corps,Korper,corpo
young,joven,jeune,jung,giovane
america,America,Amerique,Amerika,America
important,importante,important,wichtig,importante
field,campo,champ / domaine,Feld / Bereich,campo / settore
few,pocos,quelques,wenige,pochi
east,este,est,Osten,est
paper,papel,papier,Papier,carta
single,soltero / unico,seul / celibataire,einzeln / ledig,singolo / celibe
age,edad,age,Alter,eta
activities,actividades,activites,Aktivitaten,attivita
club,club,club,Club,club
example,ejemplo,exemple,Beispiel,esempio
girls,chicas / ninas,filles,Madchen,ragazze
additional,adicional,supplementaire,zusatzlich,aggiuntivo
password,contrasena,mot de passe,Passwort,password
latest,ultimo / mas reciente,dernier / plus recent,neueste / letzte,ultimo / piu recente
something,algo,quelque chose,etwas,qualcosa
road,carretera / camino,route / chemin,Strasse / Weg,strada
gift,regalo,cadeau,Geschenk,regalo
question,pregunta,question,Frage,domanda
changes,cambios,changements,Anderungen,cambiamenti
night,noche,nuit,Nacht,notte
hard,duro / dificil,dur / difficile,hart / schwierig,duro / difficile
texas,Texas,Texas,Texas,Texas
pay,pagar / pago,payer / paie,zahlen / Bezahlung,pagare / pagamento
four,cuatro,quatre,vier,quattro
poker,poquer,poker,Poker,poker
status,estado,statut / etat,Status / Zustand,stato / stato
browse,navegar,parcourir,durchsuchen,sfogliare
issue,problema / asunto,probleme / question,Problem / Thema,problema / questione
range,rango,plage / gamme,Bereich,gamma / intervallo
building,edificio / construccion,batiment / construction,Gebaude / Bau,edificio / costruzione
seller,vendedor,vendeur,Verkaufer,venditore
court,tribunal / cancha,tribunal / cour,Gericht / Platz,tribunale / corte
february,febrero,fevrier,Februar,febbraio
always,siempre,toujours,immer,sempre
result,resultado,resultat,Ergebnis,risultato
audio,audio,audio,Audio,audio
light,luz / ligero,lumiere / leger,Licht / leicht,luce / leggero
write,escribir,ecrire,schreiben,scrivere
war,guerra,guerre,Krieg,guerra
offer,oferta / ofrecer,offre / offrir,Angebot / anbieten,offerta / offrire
blue,azul,bleu,blau,blu
groups,grupos,groupes,Gruppen,gruppi
easy,facil,facile,einfach,facile
given,dado,donne,gegeben,dato
files,archivos,fichiers,Dateien,file
event,evento,evenement,Ereignis,evento
release,lanzamiento / liberar,sortie / liberer,Veroffentlichung / freigeben,rilascio / rilasciare
analysis,analisis,analyse,Analyse,analisi
request,solicitud / solicitar,demande / demander,Anfrage / anfordern,richiesta / richiedere
fax,fax,fax,Fax,fax
china,China,Chine,China,Cina
making,haciendo / fabricacion,faisant / fabrication,Herstellung / machen,facendo / produzione
picture,imagen / foto,image / photo,Bild,immagine / foto
needs,necesidades / necesita,besoins / a besoin,Bedurfnisse / braucht,esigenze / necessita
possible,posible,possible,moglich,possibile
might,podria,pourrait,konnte,potrebbe
professional,profesional,professionnel,professionell,professionale
yet,todavia / aun,encore,noch,ancora
month,mes,mois,Monat,mese
major,mayor / principal,majeur / principal,gross / wichtig,maggiore / principale
star,estrella,etoile,Stern,stella
areas,areas,zones,Bereiche,aree
future,futuro,avenir / futur,Zukunft,futuro
space,espacio,espace,Raum,spazio
committee,comite,comite,Ausschuss,comitato
hand,mano,main,Hand,mano
sun,sol,soleil,Sonne,sole
cards,tarjetas,cartes,Karten,carte
problems,problemas,problemes,Probleme,problemi
london,Londres,Londres,London,Londra
washington,Washington,Washington,Washington,Washington
meeting,reunion,reunion,Besprechung,riunione
become,convertirse,devenir,werden,diventare
interest,interes,interet,Interesse,interesse
child,nino / hijo,enfant,Kind,bambino / figlio
keep,mantener / guardar,garder,behalten,mantenere / tenere
enter,entrar,entrer,eintreten,entrare
california,California,Californie,Kalifornien,California
share,compartir / accion,partager / action,teilen / Aktie,condividere / azione
similar,similar,similaire,ahnlich,simile
garden,jardin,jardin,Garten,giardino
schools,escuelas,ecoles,Schulen,scuole
million,millon,million,Million,milione
added,anadido / agregado,ajoute,hinzugefugt,aggiunto
reference,referencia,reference,Referenz,riferimento
companies,empresas,entreprises,Unternehmen,aziende
listed,listado,liste,aufgelistet,elencato
baby,bebe,bebe,Baby,bambino
learning,aprendizaje,apprentissage,Lernen,apprendimento
energy,energia,energie,Energie,energia
run,correr / ejecutar,courir / executer,laufen / ausfuhren,correre / eseguire
delivery,entrega,livraison,Lieferung,consegna
net,red / neto,net,Netz / netto,rete / netto
popular,popular,populaire,beliebt,popolare
term,termino,terme,Begriff,termine
film,pelicula / film,film,Film,film
stories,historias,histoires,Geschichten,storie
put,poner,mettre,setzen / stellen,mettere
computers,computadoras / ordenadores,ordinateurs,Computer,computer
journal,diario / revista,journal,Journal / Zeitschrift,giornale / rivista
reports,informes / reportes,rapports,Berichte,rapporti
try,intentar,essayer,versuchen,provare
welcome,bienvenido,bienvenue,willkommen,benvenuto
central,central,central,zentral,centrale
images,imagenes,images,Bilder,immagini
president,presidente,president,Prasident,presidente
notice,aviso / notar,avis / remarquer,Hinweis / bemerken,avviso / notare
